plate,mjd,fiberid,fibermag_r,petromag_r,z
516,52017,55,18.2825,17.15471,0.08302677
516,52017,9,17.2638,15.72781,0.08353433
517,52024,220,18.20591,17.24912,0.07779646
517,52024,206,16.97104,14.97414,0.01802161
519,52283,10,17.50835,16.1493,0.07787878
520,52288,121,17.68287,16.25534,0.07712018
523,52026,249,17.25587,15.69351,0.04762444
527,52342,286,17.51786,16.31603,0.08078528
527,52342,207,17.30165,15.64937,0.08200905
473,51929,82,16.22082,14.66202,0.01728808
475,51965,13,16.71741,15.15973,0.0594254
481,51908,184,17.33418,15.90772,0.06377513
501,52235,308,18.34334,16.95725,0.09963124
501,52235,162,17.8836,16.44385,0.0645337
504,52316,51,18.53701,17.2776,0.0722011
506,52022,223,18.5454,17.44285,0.07263095
506,52022,145,17.79892,16.44281,0.05202851
516,52017,212,17.34173,16.25355,0.07738028
516,52017,15,16.70095,15.05776,0.02220426
520,52288,97,17.60202,15.91208,0.07450389
523,52026,99,17.56179,16.22876,0.0804973
524,52027,93,18.2612,17.15372,0.06908582
525,52295,125,17.85269,16.60897,0.09954652
536,52024,62,18.1464,16.66421,0.08448231
475,51965,143,17.73195,15.81329,0.08260299
503,51999,77,17.34116,15.89873,0.07200021
511,52636,150,18.37936,17.47052,0.09328479
512,51992,25,18.40303,17.45665,0.09675962
533,51994,195,17.84081,16.5461,0.05519782
534,51997,181,17.22829,15.4385,0.08411505
480,51989,342,17.52374,16.04321,0.0949465
504,52316,423,17.40974,16.16831,0.0637053
506,52022,591,17.02057,15.48485,0.0553679
508,52366,554,17.2633,15.61549,0.0796954
510,52381,433,18.49975,17.49701,0.07456692
510,52381,466,18.03831,16.93279,0.0741406
510,52381,591,17.003,14.8297,0.02892955
510,52381,632,17.2297,15.64378,0.05073064
512,51992,481,17.64514,16.21538,0.09241299
512,51992,515,17.44535,16.28655,0.08797803
514,51994,359,17.84809,16.89685,0.07463505
528,52022,234,17.74781,16.60485,0.07865906
529,52025,75,18.4692,17.32481,0.07666494
534,51997,353,18.07088,16.61024,0.05478346
533,51994,640,17.44818,16.26862,0.07216049
500,51994,490,18.74906,17.74355,0.0915655
504,52316,585,17.51855,16.00701,0.06493184
509,52374,347,18.25058,17.21533,0.07611869
509,52374,546,18.07442,16.94662,0.09734156
511,52636,467,18.90974,17.18418,0.05094229
517,52024,490,17.39289,16.16591,0.06898283
518,52282,555,18.34383,17.45412,0.07886032
527,52342,385,18.16494,17.12104,0.09991568
531,52028,393,17.70241,16.66062,0.07750948
537,52027,509,17.67493,16.35449,0.06356008
504,52316,330,18.72342,17.31991,0.07138645
504,52316,458,18.74477,17.39909,0.0750896
505,52317,335,16.88511,15.0024,0.0338941
505,52317,616,18.15521,16.8951,0.07584549
507,52353,330,16.48675,14.31295,0.04215599
507,52353,403,17.48899,15.79143,0.06767304
510,52381,325,16.32726,14.54619,0.02528187
514,51994,529,17.20185,15.61576,0.07496967
845,52381,86,17.09356,15.74779,0.08324178
521,52326,444,17.50122,16.20881,0.08503796
524,52027,366,18.09038,16.91545,0.07080492
524,52027,404,18.38302,17.46884,0.08670261
524,52027,611,17.23371,15.61028,0.03868594
526,52312,374,17.20881,15.91309,0.07421344
582,52045,42,17.49784,15.82812,0.08098616
270,51909,27,17.99092,16.88223,0.04497541
267,51608,26,18.18079,16.90905,0.08834462
268,51633,497,18.00129,17.09112,0.09200749
269,51910,468,18.44716,17.4705,0.06195069
584,52049,291,18.69084,17.46673,0.08523014
586,52023,139,18.58671,17.17562,0.05854153
586,52023,49,16.4311,14.41327,0.03062254
587,52026,56,18.2388,16.89368,0.09652033
590,52057,52,18.18717,17.0286,0.0933767
585,52027,310,18.50435,17.29169,0.08793196
592,52025,178,16.37444,14.7024,0.0508138
592,52025,87,17.32834,16.02529,0.09015094
593,52026,248,17.01885,14.6522,0.03743283
594,52045,249,17.15642,15.72791,0.0771862
582,52045,115,17.03362,15.45493,0.08462371
583,52055,167,17.67175,16.4003,0.07982274
583,52055,73,18.06294,16.98416,0.07779831
589,52055,466,18.11249,17.08187,0.0548733
589,52055,76,18.45296,17.40083,0.09116747
594,52045,483,17.57798,15.7265,0.09623627
594,52045,540,18.44941,17.44028,0.09807017
595,52023,517,17.40379,15.80115,0.04009232
583,52055,391,17.71176,16.26706,0.09523836
582,52045,448,17.9991,17.08904,0.0883446
582,52045,607,18.59921,17.53046,0.09038703
638,52081,18,17.24017,15.31244,0.06531882
1177,52824,300,17.36225,16.23634,0.09277001
1177,52824,220,17.81794,16.68216,0.06895926
718,52206,239,17.2466,16.10183,0.07993163
718,52206,185,18.5105,17.5628,0.08256298
720,52206,51,17.73999,16.20715,0.07177484
1178,52825,236,16.93211,15.11832,0.06277125
1178,52825,102,17.42919,16.30491,0.06114838
723,52201,62,17.61979,16.08279,0.08171645
723,52201,21,17.02342,15.57323,0.06439365
634,52164,116,17.84024,16.54443,0.08099643
635,52145,415,17.89019,16.52772,0.08593483
637,52174,457,18.47951,17.52446,0.09634795
640,52200,177,18.72706,17.95654,0.08610862
720,52206,74,18.01319,17.02447,0.08809935
720,52206,27,17.71508,16.3413,0.08815351
721,52228,152,17.96173,16.81622,0.08826682
721,52228,21,18.08171,16.99662,0.08110423
722,52224,156,17.52588,16.11656,0.06270322
725,52258,346,18.31364,17.11226,0.08148782
725,52258,319,17.02498,14.95685,0.07913533
639,52146,482,16.66608,15.1089,0.02761098
716,52203,394,17.92929,16.66396,0.05951617
721,52228,490,18.57783,17.52633,0.08207877
721,52228,501,17.78891,16.49031,0.0817951
722,52224,559,18.37143,17.23696,0.09624109
725,52258,354,17.89808,16.09373,0.07965543
639,52146,486,17.24969,15.62902,0.06272811
1177,52824,611,16.02886,14.10855,0.01990187
718,52206,432,17.25496,15.7705,0.05686896
718,52206,504,18.43853,17.50616,0.0576627
721,52228,577,17.83128,16.61082,0.08221833
722,52224,425,18.18416,17.04007,0.08027826
722,52224,582,18.2359,17.11777,0.08337221
723,52201,452,18.04401,17.08225,0.07689948
724,52254,379,17.76073,16.8423,0.07890795
639,52146,565,18.19424,17.14224,0.08917791
716,52203,445,17.1559,15.45702,0.08589818
716,52203,526,18.69766,17.83693,0.09845155
721,52228,89,18.74716,17.22909,0.08358768
646,52523,254,18.71031,17.55578,0.08226554
648,52559,46,16.99808,15.84002,0.06516008
657,52177,59,15.98028,14.36323,0.02259914
648,52559,187,17.35383,15.6374,0.08521271
657,52177,104,17.1104,15.72493,0.05456739
654,52146,346,16.59725,15.08036,0.05372916
655,52162,510,18.20154,17.18158,0.05700626
657,52177,481,17.97194,16.53034,0.07840712
659,52199,484,17.55019,16.3867,0.06879643
646,52523,84,18.62479,17.75358,0.08361857
665,52168,47,17.93497,16.79753,0.09740838
665,52168,7,18.21179,17.10649,0.05278033
666,52149,51,17.87387,16.77444,0.09518605
458,51929,28,17.22868,15.68943,0.035416
464,51908,195,16.99394,15.20614,0.03746568
649,52201,153,18.27641,17.12042,0.07408714
649,52201,98,18.07253,17.07465,0.07397442
664,52174,80,17.43218,16.18125,0.05100952
666,52149,311,16.55867,14.96025,0.04293152
455,51909,74,17.14583,14.15428,0.03754619
656,52148,221,17.87858,17.00928,0.07582729
657,52177,519,17.33406,15.79465,0.05629095
