aid,z,log_M,logage,logZ,alpha_fe,sigma_e,ra,dec,Scale,Rhlr,e,ng,_RA,_DE,Separation
spec-1463-53063-0611,0.07318684,10.825,10.126437145086058,0.11657450418728878,0.25294104948163,150.04079470902406,204.1010009,47.0006677,1.392,4.7,0.66,1.91,204.101,47.00067,0.008569768943685946
spec-1464-53091-0112,0.06208227,10.86,10.117402912412958,0.11967341711775316,0.185019935483217,162.2350374700063,204.02332791,40.82421067,1.197,4.49,0.0,4.66,204.02333,40.82421,0.006183388076350392
spec-1464-53091-0236,0.05459462,11.085,9.988043396677572,0.12227685647177766,-0.0398845208175051,181.42785710448905,202.65878035,40.89871659,1.062,4.75,0.23,6.16,202.65878,40.89872,0.012312888766647016
spec-1464-53091-0362,0.07590184,10.232,10.129290554063271,0.005631902002124835,,91.51017615342612,202.67460016,41.67946899,1.44,2.18,0.38,2.96,202.6746,41.67947,0.0036613616258406884
spec-1464-53091-0495,0.0539216,10.89,10.142862049691809,0.19455134054353732,0.256457120479835,157.85134792724165,203.82613603,41.11204351,1.05,8.04,0.16,5.75,203.82614,41.11204,0.01660172623446042
spec-1465-53082-0079,0.06431644,10.233,10.02651885352859,0.1593781159345458,0.196807308019939,95.83779829950417,206.80220249,45.51744074,1.235,2.59,0.38,2.58,206.8022,45.51744,0.00682260285876613
spec-1465-53082-0114,0.05730383,10.791,10.105959938854062,-0.08220346215918978,-0.13100072266266,147.85645849468995,206.33536561,45.26336914,1.111,3.92,0.54,3.25,206.33537,45.26337,0.01154644314859171
spec-1465-53082-0126,0.06123063,10.395,10.129439411298819,-0.027322907091931973,0.140283008445859,130.01351023256922,205.62617055,44.41114978,1.182,3.38,0.42,6.73,205.62617,44.41115,0.0016210344312351881
spec-1465-53082-0145,0.0384832,10.56,10.146030123961438,0.022188197304406698,0.207246142346242,128.61340531709345,206.03497348,45.34130342,0.763,3.45,0.32,5.26,206.03497,45.3413,0.015136902874442817
spec-1465-53082-0174,0.03845886,10.943,10.092517151472098,0.09851591102183661,0.142439085970893,150.35647395269845,205.66463969,45.58434375,0.763,6.21,0.21,4.29,205.66464,45.58434,0.01352257472229478
spec-1465-53082-0282,0.09170289,10.447,10.13559071174203,0.009987576761081675,-0.0764402315037859,109.98696915967038,203.96082476,44.98237967,1.708,2.67,0.22,4.97,203.96082,44.98238,0.012178788752003988
spec-1465-53082-0479,0.05950835,11.373,10.122611925720305,0.33413584488741516,0.227791543698987,177.0288270240161,205.5347795,45.95664756,1.151,7.83,0.76,1.99,205.53478,45.95665,0.00887268668421065
spec-1465-53082-0538,0.03756533,10.806,10.034899171166693,0.26629944894427426,0.0845948343588793,161.94505416672206,205.52596185,46.8243022,0.746,3.53,0.42,3.75,205.52596,46.8243,0.00913744323300729
spec-1465-53082-0565,0.08760882,10.82,10.117407156093853,0.18191841887415486,0.253469953069054,170.94769414434808,206.14589613,46.43622882,1.639,4.41,0.2,4.97,206.1459,46.43623,0.010499159360770212
spec-1466-53083-0232,0.09175944,11.149,10.16618534237998,0.2934897566430197,0.032806002768137,190.0506449042738,207.84468339,45.14827156,1.709,17.64,0.06,5.29,207.84468,45.14827,0.0102772974848215
spec-1466-53083-0320,0.06205648,10.962,9.859000341505757,0.39976477808728494,-0.1456070275639,199.22845324638794,206.60135038,44.76760221,1.196,3.76,0.48,5.5,206.60135,44.7676,0.008015063236642223
spec-1466-53083-0368,0.06296698,10.133,10.108677406124059,-0.22080977707646948,-0.0231761589282268,86.16889194057975,207.74310841,46.3565269,1.211,2.61,0.41,3.67,207.74311,46.35653,0.011838591853893504
spec-1466-53083-0480,0.06418604,11.135,10.124808545218883,0.33297265573918705,0.147665251198935,174.51471878591903,208.31692034,45.69071609,1.234,5.54,0.55,2.46,208.31692,45.69072,0.014101943274675564
spec-1467-53115-0499,0.04074856,10.672,10.142262613377417,-0.04343899832945502,0.0798337513480776,153.84888375795265,211.20890016,44.91062339,0.806,4.1,0.27,5.55,211.2089,44.91062,0.012210815747607169
spec-1567-53172-0022,0.05135744,10.822,10.135675215810405,0.2616171157328734,0.164020718539882,166.13944386176146,255.43004932,18.17095814,1.003,3.4,0.36,4.33,255.43005,18.17096,0.007088463464704383
spec-1567-53172-0230,0.08148775,10.898,10.10830652689561,0.07477366699303531,0.255930009993328,136.65010149338235,253.82642016,18.29455475,1.535,7.5,0.41,3.9,253.82642,18.29455,0.01710874291217893
spec-1567-53172-0239,0.08163147,10.702,10.017943354071868,-0.12868914506357662,0.220974605371254,124.54921725047056,254.04529285,18.24752504,1.538,4.17,0.08,2.62,254.04529,18.24752,0.020594933519604338
spec-1568-53169-0402,0.08153201,10.502,10.16066134867283,0.22640688243762994,0.464106330377056,104.42541927185786,253.0897847,20.529902,1.537,3.7,0.23,6.84,253.08978,20.5299,0.017404501353288523
spec-1568-53169-0600,0.05841442,10.912,10.086231905091948,0.31461734654444096,-0.0118418826136335,171.45636650522212,254.02705052,19.65548221,,,0.42,4.76,254.02705,19.65548,0.008148977353779629
spec-1569-53168-0213,0.06082361,10.712,10.143471774803116,0.15088134987060844,0.219190152965582,166.8679261597798,251.39863746,19.67546143,1.175,4.88,0.36,5.25,251.39864,19.67546,0.010031758216425811
spec-1569-53168-0229,0.08151018,10.568,10.110510456518806,0.09307502278992918,0.171014294647897,122.11585448053962,251.09534792,20.23229044,1.536,3.1,0.31,2.31,251.09535,20.23229,0.007202320030097371
spec-1572-53177-0211,0.09211325,10.988,10.166612933659954,0.20236539765315087,0.227800685576621,189.61130315304177,247.19935414,22.67832256,1.714,10.67,0.41,6.06,247.19935,22.67832,0.016554257388571417
spec-1572-53177-0286,0.04559069,10.36,10.149202263154582,0.1385439022138047,-0.00881955612290827,110.56931304635124,246.51377964,22.86062629,0.896,2.37,0.68,2.87,246.51378,22.86063,0.013409282453673937
spec-1572-53177-0341,0.05700092,10.54,10.113830092762958,0.1411675000959277,0.0453770581610168,127.8830970071367,246.41109516,24.43387439,1.105,2.29,0.51,1.95,246.41109,24.43387,0.023147202492436812
spec-1573-53226-0186,0.06332762,10.773,10.151193682957327,0.07459249377976018,0.277493340156282,135.36802364320334,245.9794359,23.87739291,1.218,6.59,0.62,1.75,245.97944,23.87739,0.01708533731669948
spec-1573-53226-0275,0.05909931,11.115,10.153702534536665,0.3632300297679925,0.242051653599956,185.45442157600766,245.68458313,23.95414981,1.143,6.98,0.2,5.17,245.68458,23.95415,0.010320186443691445
spec-1573-53226-0324,0.09518559,10.742,10.109556900604453,-0.23658976002517135,-0.0103501526050157,161.3092024051458,246.20524138,25.4985907,1.764,7.38,0.77,4.1,246.20524,25.49859,0.005143687313687962
spec-1573-53226-0389,0.06775883,10.717,10.151480798679883,0.180154410338797,-0.0572120563599213,124.1313952023043,245.86464604,24.87570717,1.297,3.51,0.17,2.4,245.86465,24.87571,0.01646411939166754
spec-1573-53226-0428,0.09602854,11.448,10.156886894094589,0.33109768074393126,0.199722151358253,220.0167954614192,246.09813447,25.13011712,1.78,11.35,0.22,5.18,246.09813,25.13012,0.01788144347088567
spec-1573-53226-0459,0.06741328,10.225,10.14591376504294,-0.010083248175603094,0.382561236358896,93.92176217478148,247.02138462,25.72632776,1.291,3.16,0.31,3.12,247.02138,25.72633,0.01701558939921606
spec-1574-53476-0362,0.09691721,10.683,10.137086327178864,0.05067097010858993,0.145789992731544,143.3131022875954,245.29728033,25.89272491,1.794,3.25,0.54,4.09,245.29728,25.89272,0.017708280042366215
spec-1574-53476-0430,0.09989462,10.789,9.927769257957102,0.17680241694879925,0.300731327099252,146.41461449473044,245.48418479,25.62002897,1.843,6.65,0.76,5.23,245.48418,25.62003,0.01598461920856407
spec-1574-53476-0608,0.06774889,10.465,10.144646652367458,0.11758284081271515,0.0261132582555851,106.99820252118563,247.10975173,25.80965337,1.296,5.48,0.39,3.96,247.10975,25.80965,0.013364910423864524
spec-1575-53493-0316,0.08286595,11.099,10.160294926493455,0.3313295703502488,0.38848425238568,214.24136221585826,243.02088272,25.29163594,1.558,6.48,0.17,5.82,243.02088,25.29164,0.017088297625523354
spec-1575-53493-0325,0.03243346,10.776,10.122533637197892,0.3197351386833067,0.126795964020143,170.2691792754912,243.84743031,26.61800363,0.648,4.4,0.4,5.29,243.84743,26.618,0.013106031715255644
spec-1576-53496-0206,0.0672872,10.626,10.139475696661739,0.0017323460898406395,0.0581167185553847,112.17612482562642,244.47895397,24.99829406,1.289,3.78,0.13,4.84,244.47895,24.99829,0.01952974801787904
spec-1576-53496-0261,0.04078608,10.81,10.127664425113535,0.21345121655983212,0.0411198077074314,127.29558373991232,244.18585585,25.73091452,0.807,5.92,0.62,3.16,244.18586,25.73091,0.021116621815470242
spec-1576-53496-0330,0.06494461,10.26,10.146586633380952,0.0034690272691639983,0.183821083491516,117.80975904801934,243.80399087,27.44316263,1.248,4.12,0.75,0.77,243.80399,27.44316,0.009867569583081078
spec-1577-53495-0078,0.06418222,10.698,10.008731067538902,0.16973707993634046,-0.0706660720707915,146.9145440571893,243.86180341,27.56478514,1.234,7.65,0.56,6.42,243.8618,27.56478,0.02146689199230306
spec-1577-53495-0291,0.04713185,10.589,10.125527792082494,-0.018047056113910536,-0.0753130963726045,121.10194167634785,242.05350652,27.57114137,0.925,5.08,0.25,7.85,242.05351,27.57114,0.012151208942545672
spec-1578-53496-0141,0.09179571,10.742,10.163870112459053,-0.044892221855056216,-0.0428043111005951,126.06066879010595,241.34569147,28.68445904,1.71,5.57,0.28,3.53,241.34569,28.68446,0.00578767443815487
spec-1578-53496-0212,0.06894705,10.757,10.152489441398162,0.11550767039423533,0.0286156732517254,144.07509259019517,241.25344713,28.14285146,1.318,5.09,0.0,4.47,241.25345,28.14285,0.010517918573021291
spec-1578-53496-0288,0.0769016,11.59,10.156959313642169,0.3849793067508845,0.136531541643029,274.67429113469643,240.44324191,28.5721424,1.456,9.81,0.23,4.75,240.44324,28.57214,0.010541082465029617
spec-1578-53496-0586,0.09170226,10.711,10.157875127872366,-0.11092982037710626,0.0280772287858785,129.4319727927892,241.88156868,29.48175934,1.707,6.42,0.15,6.82,241.88157,29.48176,0.00477047759848767
spec-1578-53496-0591,0.0914057,10.939,10.034515207009308,-0.12228633873892857,-0.245652985322306,164.94003370898514,241.73366645,29.5747439,1.704,5.32,0.49,2.67,241.73367,29.57474,0.017907071195684528
spec-1579-53473-0108,0.07475505,10.809,10.146128718740844,0.33909770328616706,0.180809842888237,182.47879978854215,239.140732,29.88271069,1.42,7.29,0.41,6.42,239.14073,29.88271,0.006718783594675498
spec-1582-52939-0145,0.04777034,10.898,10.143557587952268,0.2616714056182987,0.0664703859746518,181.1246914235354,117.09089148,18.5487063,0.936,3.83,0.61,3.17,117.09089,18.54871,0.014245607003569177
spec-1582-52939-0146,0.04599388,10.969,10.148670736380904,0.11564025384491092,0.0688779637193602,146.27763002600562,117.07391229,18.52112925,0.903,6.18,0.35,2.93,117.07391,18.52113,0.008270170643133372
spec-1582-52939-0219,0.05232938,10.074,10.093715908422858,-0.1734675922781369,-0.374499315719737,95.98129188830919,116.49913779,18.31619294,1.021,2.77,0.62,2.02,116.49914,18.31619,0.013002603508514716
spec-1582-52939-0242,0.05133582,10.917,10.125493477187785,0.17045072067552078,0.179241654684751,159.71511013842223,116.48653526,18.13788293,1.004,7.33,0.2,3.57,116.48653,18.13788,0.020858641754617924
spec-1582-52939-0270,0.04497276,11.103,10.148108105706914,0.2817658710981381,0.301546934446051,183.02585676948001,116.39150706,18.80335856,0.885,8.0,0.22,4.93,116.39151,18.80336,0.011280821732261892
spec-1583-52941-0383,0.09244984,10.942,10.088573337416127,0.20762801519798277,0.0456397081502509,170.03733672248973,118.91320679,20.85344366,1.72,5.92,0.42,4.51,118.91321,20.85344,0.01703601077307458
spec-1584-52943-0615,0.08230765,10.554,10.11312216045663,0.007060535062674907,0.280689886055063,142.37098221711312,123.25226628,23.20002571,1.55,3.83,0.41,5.03,123.25227,23.20003,0.019749178247251854
spec-1584-52943-0629,0.09522533,10.476,10.116555250337365,-0.10303816724938471,-0.178162784865119,102.91084081775884,123.37700243,22.91318122,1.767,3.61,0.56,1.52,123.377,22.91318,0.009176979086569734
spec-1586-52945-0192,0.08429117,10.314,10.16423826178686,-0.47336409870442203,-0.155421909951886,130.96600994903483,126.59207886,24.97951098,1.583,3.34,0.17,3.89,126.59208,24.97951,0.005126985549861087
spec-1586-52945-0458,0.02393168,10.457,10.12405665945839,-0.13537368207738978,-0.0915276818569178,101.87004340443501,127.03680424,26.09497632,0.483,3.31,0.32,3.28,127.0368,26.09498,0.019063604057171828
spec-1587-52964-0027,0.08660293,10.467,10.13381024127038,0.20332914237584596,0.103210533695375,106.42906659806131,129.7316853,26.66481372,1.624,3.63,0.42,4.51,129.73168,26.66481,0.02168121383839486
spec-1587-52964-0085,0.08320489,11.175,10.0175466677664,0.3602459390253766,-1.60811563596111E-4,206.2901021245925,129.80734994,27.075723,1.565,4.1,0.23,6.34,129.80735,27.07572,0.010801712358653699
spec-1587-52964-0208,0.08083955,10.855,10.155500460205605,0.1470505133192594,-0.153800769982454,152.65645245340377,128.64139328,26.9743829,1.525,5.51,0.6,7.33,128.64139,26.97438,0.014823480176387788
spec-1587-52964-0233,0.07892606,10.651,10.133342270152195,0.1700837034637063,-0.278829378221032,141.27940365763087,128.88597204,26.85940955,1.491,3.67,0.73,5.01,128.88597,26.85941,0.0067490256962907495
spec-1587-52964-0238,0.0877977,11.326,10.162058178396126,0.3351722332897833,0.241901694488851,217.0404160161174,129.03255396,26.81205628,1.642,8.03,0.28,3.85,129.03255,26.81206,0.01847239319709527
spec-1587-52964-0347,0.05154692,11.03,10.145154224312902,0.041964578139785755,0.0536353398585973,175.23046942543002,129.20488394,28.66871424,1.006,6.9,0.38,4.13,129.20488,28.66871,0.019694458021503214
spec-1587-52964-0429,0.08467736,10.805,10.103367043202484,0.07133435074244077,0.215097355302286,178.70686455493225,129.53782212,28.64962739,1.59,11.08,0.35,6.42,129.53782,28.64963,0.011538745513811219
spec-1587-52964-0470,0.09825142,10.617,9.970437896810555,0.16000901178151167,-0.0152137416378049,121.31842530689437,129.5710921,27.5611525,1.815,2.85,0.11,4.18,129.57109,27.56115,0.011221308925292946
spec-1588-52965-0610,0.09774508,11.057,10.15714109603004,0.2309785001777727,0.233174837374591,167.6113949810002,132.65264603,29.1126016,1.808,5.73,0.76,2.75,132.65265,29.1126,0.013750940859490482
spec-1589-52972-0031,0.04293362,10.455,10.144527991752302,0.03295911390630749,0.0535450351097695,101.7695996424,134.08325617,28.98111208,0.847,3.13,0.28,3.05,134.08326,28.98111,0.01419679371258972
spec-1589-52972-0045,0.08047575,11.257,10.158037499782573,0.37953115953846456,0.0869290714263439,218.0328839923546,133.65952634,29.19016733,1.519,7.96,0.42,4.54,133.65953,29.19017,0.01499010352106866
spec-1589-52972-0069,0.08585783,10.489,10.054791966802052,0.2758173235191242,-0.0513920793132255,109.99617764464531,133.45426139,28.79617424,1.609,3.56,0.58,5.06,133.45426,28.79617,0.015881425371287172
spec-1589-52972-0087,0.08344398,11.235,10.043691846628402,0.34140617586524385,0.242461118700844,207.22676687603152,133.45945629,29.07343218,1.569,5.14,0.17,3.74,133.45946,29.07343,0.014066010928417246
spec-1589-52972-0092,0.08326025,10.833,10.02639710964509,0.3597735741511406,0.293418895964278,145.09363126853586,133.5328151,29.08372638,1.565,3.6,0.42,3.01,133.53281,29.08373,0.02067062723627675
spec-1589-52972-0128,0.08723645,10.518,10.113358447892514,0.10958549209318011,0.0933797058891907,140.88407781924153,133.36604607,29.08270976,1.632,4.14,0.09,3.8,133.36605,29.08271,0.012394356257171652
spec-1589-52972-0340,0.07058678,10.727,10.148942575342158,0.21756847565298376,0.188534224857267,148.46967157749367,131.65755581,29.6507172,1.347,5.74,0.26,6.91,131.65756,29.65072,0.016536282502012525
spec-1590-52974-0072,0.06604634,10.277,10.115361993524477,-0.22420578742796998,0.0316347797132501,107.53854657954196,135.31196712,30.07194364,1.267,2.68,0.29,4.38,135.31197,30.07194,0.01588141714439903
spec-1590-52974-0180,0.08880845,10.735,10.165604943333657,0.027163076511136853,0.292629332096428,141.90388175821784,134.57304769,30.34848798,1.66,14.65,0.17,7.98,134.57305,30.34849,0.010216816218608113
spec-1590-52974-0380,0.08532138,10.705,10.012711181903507,0.2429872859621759,0.184899841732394,121.11030186117443,134.17460949,30.68068078,1.601,4.6,0.33,5.96,134.17461,30.68068,0.003221508976346527
spec-1591-52976-0439,0.05099799,10.114,10.09675649200609,-0.08789624406775422,-0.0413520192455203,87.38453319859485,137.17628081,32.36480288,0.997,2.55,0.58,3.34,137.17628,32.3648,0.010656542127305196
spec-1591-52976-0459,0.06540445,11.032,10.156804908627898,0.16358855925144078,0.176041396655098,190.50285780076123,137.01890853,31.7269401,1.256,6.54,0.32,5.12,137.01891,31.72694,0.004515557675332206
spec-1592-52990-0065,0.07389562,10.88,9.958276505764859,0.09897630414330454,0.107376182723343,142.99544483641003,140.91493379,32.46296997,1.405,7.57,0.0,8.0,140.91493,32.46297,0.011512475014204488
spec-1592-52990-0363,0.02204059,10.5,10.138391162915346,0.20439404991109483,0.159212807267728,115.08243500704448,139.60097807,33.86754037,0.445,3.53,0.23,3.44,139.60098,33.86754,0.005920892478793442
spec-1592-52990-0513,0.02111863,10.125,10.07171945188982,0.06865824518478594,-0.0322001231768402,85.77343375005519,140.24756001,33.19526689,0.428,2.31,0.43,3.48,140.24756,33.19527,0.011196040544706406
spec-1592-52990-0549,0.02418985,10.264,10.074613615488092,0.24653264222063906,-0.0104129809575709,93.18218652365368,140.5459185,33.30068606,0.488,3.77,0.08,7.53,140.54592,33.30069,0.014884755681667082
spec-1593-52991-0248,0.05167455,10.059,10.104293262297382,-0.12560633125005488,0.0280051093943494,96.58781431118369,141.58033155,32.63913812,1.008,2.2,0.46,2.77,141.58033,32.63914,0.008239224730907298
spec-1593-52991-0426,0.02303885,10.526,10.092510553275897,0.25128732353132943,-0.00392424800452719,122.24117929493733,141.81682856,34.42719677,0.466,3.61,0.7,4.2,141.81683,34.4272,0.012389291313030404
spec-1593-52991-0487,0.04207806,11.149,10.132734884428535,0.3396495709226195,0.224144058732594,218.76323307810355,142.51484231,34.2237028,0.832,6.29,0.18,5.31,142.51484,34.2237,0.012201914193676706
spec-1593-52991-0607,0.04106362,10.872,10.147345793795859,0.18725596193516408,0.122395225804253,166.6796120712848,143.58916093,34.69454287,0.812,5.77,0.32,4.88,143.58916,34.69454,0.010692412731891263
spec-1594-52992-0272,0.04204943,10.435,10.147525883204107,0.11421385347730052,-0.0354539489351516,127.68376328008299,144.1469106,34.94139736,0.83,3.14,0.34,4.79,144.14691,34.9414,0.009667531401142404
spec-1594-52992-0454,0.08546857,10.73,10.060583545507983,0.053758996852778615,-0.104161620576771,157.75536345866422,145.14057802,35.61302297,1.604,4.76,0.29,5.57,145.14058,35.61302,0.012161374284860284
spec-1594-52992-0584,0.04293239,10.213,10.139978603876301,-0.1937613045292471,-0.17917876108189,89.09695808044738,146.07992384,35.3301611,0.846,2.69,0.75,3.27,146.07992,35.33016,0.01195310318088158
spec-1595-52999-0320,0.08684141,11.002,10.156194420678558,-0.04545823801432121,0.250589922327533,153.39243930944954,145.87992422,35.62538847,1.626,5.82,0.4,3.69,145.87992,35.62539,0.013521413461905543
spec-1595-52999-0480,0.02204536,10.217,10.112993908695808,0.1491723284579422,0.207886687233109,126.81647714169813,146.66059009,35.9951911,0.446,3.08,0.04,6.09,146.66059,35.99519,0.003968666793841106
spec-1595-52999-0604,0.0510833,11.286,10.137729195378222,0.33005963591441495,0.242623555268818,232.35198104516678,149.0607562,36.4204983,0.998,7.83,0.15,5.86,149.06076,36.4205,0.012594895344131246
spec-1596-52998-0151,0.05301427,10.325,10.126355034768535,-0.09578321340438618,0.248642061905006,126.31690223609192,149.93385775,36.73049359,1.033,4.85,0.5,5.65,149.93386,36.73049,0.014462825353215435
spec-1596-52998-0231,0.05161164,10.393,10.12274769020707,0.10442723101363058,-0.117555634889106,109.23319545727087,149.06435553,36.43205344,1.008,4.88,0.22,3.72,149.06436,36.43205,0.01791615041368751
spec-1596-52998-0394,0.0537314,10.507,10.143180752661285,-0.05327969494274242,0.043223204685427,144.98426052201677,148.77705887,36.94907719,1.046,6.11,0.53,6.1,148.77706,36.94908,0.010625564088165163
spec-1596-52998-0429,0.01705683,10.099,10.137242645065998,-0.16436237290069997,0.168569916209881,93.25491949153354,148.99387104,37.15550145,0.347,2.66,0.29,4.19,148.99387,37.1555,0.006012690605694926
spec-1596-52998-0561,0.05054595,10.964,10.148893804182752,0.2567181459672879,0.134728965196946,153.88750291998664,150.25552059,38.11137846,0.988,7.98,0.55,3.65,150.25552,38.11138,0.005790406804655463
spec-1597-52999-0004,0.09642034,11.178,10.125136781549982,0.30660233324521385,0.136622448911041,217.8232908379729,154.77076612,9.89045231,1.786,7.04,0.34,5.66,154.77077,9.89045,0.01607808011414093
spec-1597-52999-0517,0.08230938,10.535,10.10817942596402,-0.07691819413584593,-0.0583369098613869,122.22018959048567,153.96412206,10.81377118,1.55,3.58,0.17,1.8,153.96412,10.81377,0.008432475713374764
spec-1597-52999-0583,0.08509845,10.748,10.164347485143605,0.015675258960702383,-0.0804562277693459,143.36354923929443,154.74391224,11.17736606,1.597,13.39,0.05,7.42,154.74391,11.17737,0.016241010308799004
spec-1598-53033-0346,0.06162197,11.344,10.07240965515827,0.3993040247922384,0.175141078838076,231.9431114453432,155.26408154,11.32548183,1.189,7.66,0.24,5.02,155.26408,11.32548,0.008541212933838128
spec-1599-53089-0238,0.03163736,10.279,10.126352639836824,0.12814854784956853,0.0726156387456661,94.31679632964344,156.92756423,10.82433538,0.632,3.75,0.19,4.85,156.92756,10.82433,0.024471064146522687
spec-1599-53089-0271,0.03297062,10.319,10.13381410479642,0.2746789536723767,0.1401956302029,107.01536908707125,156.86669725,10.88792391,0.658,2.27,0.27,3.54,156.8667,10.88792,0.017106925316636903
spec-1599-53089-0308,0.06608777,10.66,10.078452635693553,0.1669454396255233,-0.258009058253754,116.99365250765288,156.37869404,10.81716596,1.268,2.84,0.22,2.75,156.37869,10.81717,0.020386402425406583
spec-1599-53089-0327,0.05941917,10.47,10.041639633927241,-0.03709852688396259,-0.0404686560752241,109.37391279400275,156.67369375,11.97370245,1.149,3.12,0.43,5.57,156.67369,11.9737,0.015880750025117553
spec-1599-53089-0342,0.08724795,11.037,9.978608563360146,0.2963193864560824,0.0691536261518364,162.42947951460553,156.386242,11.42622944,1.634,4.79,0.26,2.81,156.38624,11.42623,0.007339601078128404
spec-1599-53089-0373,0.05317835,10.874,10.147187635233054,0.2942075830002196,0.173294195404733,161.94630707388174,156.97841223,12.18632595,1.036,6.0,0.23,4.31,156.97841,12.18633,0.01655757741305474
spec-1599-53089-0394,0.03074965,10.261,9.985639325346378,0.32839134997294617,-0.0166366703822601,110.96591404817792,156.88308687,11.09009172,0.616,3.35,0.36,4.38,156.88309,11.09009,0.012673237851546016
spec-1599-53089-0501,0.0943185,10.642,9.9873188246902,-0.004299450612536218,0.0353909811889421,127.48840174958944,157.98163986,11.51417966,1.752,4.7,0.55,1.27,157.98164,11.51418,0.0013198753031355265
spec-1599-53089-0633,0.09958682,10.999,10.00889987933557,0.22486280510945547,0.0753954563842746,187.5202479101162,159.21510928,11.26805726,1.838,3.78,0.44,2.51,159.21511,11.26806,0.010186286994803952
spec-1600-53090-0006,0.09177676,11.248,10.156157504163835,0.3211391506988372,-0.00185164056373489,187.4913178404497,160.43422554,10.62300512,1.709,8.3,0.08,5.4,160.43423,10.623,0.02426464505718659
spec-1600-53090-0033,0.05329031,11.114,10.08948340603891,0.283416658168172,0.269780135010492,210.61022575378465,161.18824425,11.32673033,1.038,5.25,0.26,4.31,161.18824,11.32673,0.01504896894856044
spec-1600-53090-0056,0.04587054,10.958,10.107366210448019,0.16037489773720054,0.0555997665884329,146.44401686383918,160.32700659,10.54335219,0.901,3.81,0.51,2.04,160.32701,10.54335,0.014415684886611584
spec-1600-53090-0172,0.09292796,11.055,10.075661700055477,0.3035163822103496,0.0673734964886326,185.3630177144535,159.66922042,11.02729128,1.729,5.17,0.38,4.62,159.66922,11.02729,0.004841091362249724
spec-1600-53090-0274,0.02210431,10.243,10.125618891132502,0.07363281299400719,-0.0951681368699873,100.09476440392211,158.68214614,11.05296881,0.448,2.81,0.59,1.74,158.68215,11.05297,0.014295247132645374
spec-1600-53090-0540,0.04793633,11.236,10.148273473659382,0.18041889942923203,0.0930597037968107,162.98668018843787,159.80478882,12.19193337,0.94,8.71,0.63,3.44,159.80479,12.19193,0.012822874007738438
spec-1601-53115-0329,0.06176283,10.181,10.154258895721853,-0.16964479927917356,0.0424567151981364,106.42628160150913,160.65683154,12.46515131,1.191,2.33,0.64,3.17,160.65683,12.46515,0.007179458432921566
spec-1601-53115-0340,0.0599109,10.39,10.103576638329171,-0.09590680401937585,-0.101561579783067,103.03979871098879,160.73410214,12.40972373,1.158,3.32,0.1,6.04,160.7341,12.40972,0.015392264187174966
spec-1602-53117-0040,0.09335443,10.693,10.16611358861565,0.21847121571925981,0.117847323478447,141.18089249506676,164.78502509,11.16444897,1.734,3.26,0.18,5.73,164.78502,11.16445,0.018355651997151053
spec-1602-53117-0059,0.06873761,10.626,10.048665774692706,0.19167787651413562,0.0682678795286056,120.90510981624014,164.25963067,10.82248894,1.314,3.68,0.14,5.15,164.25963,10.82249,0.00449160186970767
spec-1602-53117-0217,0.08626598,10.375,10.145455837656858,-0.11087060484722852,-0.178969912632693,100.28163624844176,163.18647,10.73151545,1.616,2.78,0.53,1.87,163.18647,10.73152,0.016379999997211594
spec-1602-53117-0399,0.0465407,10.926,10.147534734109081,0.23558403428234356,0.10565624366573,173.82197521745258,162.94970001,11.98380486,0.914,5.21,0.29,4.17,162.9497,11.9838,0.01749603543519277
spec-1602-53117-0423,0.09522396,10.908,10.06501840549609,0.14481419698579792,0.0360466994175705,174.40969648543722,163.42010237,11.9400152,1.766,7.91,0.43,5.87,163.4201,11.94001,0.020496770953384154
spec-1602-53117-0444,0.08793336,10.586,10.145353990459279,-0.04029258348490505,0.0587276534323266,157.18249458690727,163.5766758,12.55625882,1.645,5.68,0.35,7.39,163.57668,12.55626,0.015357575957292898
spec-1603-53119-0083,0.06608202,10.586,10.146449788946454,0.16822925365829294,0.158508175105701,156.8283718447684,165.68246929,10.76774244,1.267,10.13,0.28,6.67,165.68247,10.76774,0.009135849928915077
spec-1603-53119-0122,0.04216183,11.022,10.12449505382788,0.15022142758943718,0.072703810575442,184.64716111907308,165.31172015,10.48111922,0.833,5.56,0.35,3.24,165.31172,10.48112,0.002857763906129403
spec-1604-53078-0071,0.03859502,10.809,10.119171391423604,0.21662591993688923,0.0725531639848623,142.30014990442373,168.62841322,11.88677294,0.765,4.39,0.73,2.81,168.62841,11.88677,0.015514329136352933
spec-1604-53078-0098,0.08417644,11.131,10.157552822451208,0.25973835342415313,0.606187642548413,211.42314526598963,168.03607096,11.21915311,1.58,7.51,0.55,5.21,168.03607,11.21915,0.011697957970970205
spec-1604-53078-0271,0.04544042,10.403,10.12729380200315,0.1769336762068354,-0.094882107416894,123.04505006301777,167.06626699,11.97658537,0.894,3.31,0.71,1.72,167.06627,11.97658,0.022047424375329947
spec-1604-53078-0296,0.04259411,10.362,10.056408039441328,0.13010733760666804,0.0996895327499264,122.88792565177513,166.6392897,10.97623925,0.84,2.66,0.33,4.41,166.63929,10.97624,0.002900709291341976
spec-1605-53062-0048,0.09904276,10.591,10.089517843210121,0.07059925693185175,-0.0237946160214319,123.90018759555328,170.58316955,11.09200042,1.829,3.85,0.22,6.31,170.58317,11.092,0.002193948417206427
